SCHOOL_ID,Short_Name,the_geom,UNIT_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610242,BRENNEMANN,POINT (-87.64980429613583 41.95998333768447),6600,4251 N CLARENDON AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6498043,41.95998334
609809,BRENTANO,POINT (-87.69634930228973 41.930965066322976),2370,2723 N FAIRFIELD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6963493,41.93096507
609810,BRIDGE,POINT (-87.79861381804237 41.9491158708936),2380,3800 N NEW ENGLAND AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.79861382,41.94911587
609811,BRIGHT,POINT (-87.56202930367482 41.69972667625668),2390,10740 S CALHOUN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5620293,41.69972668
610317,BRIGHTON PARK,POINT (-87.69213193872385 41.823898949116426),7470,3825 S WASHTENAW AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69213194,41.82389895
610381,BRONZEVILLE HS,POINT (-87.62439222376328 41.8045590863143),7270,4934 S WABASH AVE,HS,"9, 10, 11",High School,-87.62439222,41.80455909
610430,BRONZEVILLE LIGHTHOUSE CHARTER,POINT (-87.62665761082975 41.819234985114996),3990,8 W ROOT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.62665761,41.81923499
609726,BROOKS HS,POINT (-87.616351551303 41.692721367775576),1500,250 E 111TH ST,HS,"9, 10, 11, 12",High School,-87.61635155,41.69272137
610091,"BROWN, R",POINT (-87.63901260364241 41.66487242750196),5040,12607 S UNION AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6390126,41.66487243
609812,"BROWN, W",POINT (-87.67062732484625 41.88299783039447),2400,54 N HERMITAGE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.67062733,41.88299783
609813,BROWNELL,POINT (-87.62180093905368 41.77161944714351),2410,6741 S MICHIGAN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.62180094,41.77161945
609830,BRUNSON,POINT (-87.7655505880446 41.89766372277636),2550,932 N CENTRAL AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.76555059,41.89766372
610280,BUCKINGHAM,POINT (-87.56448578454507 41.72784851525318),6980,9207 S PHILLIPS AVE,ES,"5, 6, 7, 8",Elementary School,-87.56448578,41.72784852
609817,BUDLONG,POINT (-87.69655659582932 41.97579549130233),2440,2701 W FOSTER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6965566,41.97579549
609818,BURBANK,POINT (-87.78275467001352 41.91759715560999),2450,2035 N MOBILE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.78275467,41.91759716
609819,BURKE,POINT (-87.61608552151723 41.79676038627926),2460,5356 S DR MARTIN LUTHER KING JR DR,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.61608552,41.79676039
609820,BURLEY,POINT (-87.66985221948504 41.937896317769095),2470,1630 W BARRY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.66985222,41.93789632
609821,BURNHAM,POINT (-87.57761708389361 41.72057053165462),2480,1903 E 96TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.57761708,41.72057053
609827,BURNSIDE,POINT (-87.60743429907073 41.72843947944487),2520,650 E 91ST PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6074343,41.72843948
609828,BURR,POINT (-87.66866139534818 41.912399068020704),2530,1621 W WABANSIA AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6686614,41.91239907
609829,BURROUGHS,POINT (-87.69240160099814 41.82886880414727),2540,3542 S WASHTENAW AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6924016,41.82886881
609832,BYRNE,POINT (-87.79159947811974 41.795030086641695),2570,5329 S OAK PARK AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.79159948,41.79503009
609833,CALDWELL,POINT (-87.5806740732629 41.73922695970283),2580,8546 S CREGIER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.58067407,41.73922696
610243,CALHOUN NORTH,POINT (-87.69755934068608 41.87828968718092),6610,2833 W ADAMS ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69755934,41.87828969
609701,CALUMET HS,POINT (-87.65234645004459 41.745934349004145),1250,8131 S MAY ST,HS,"12, CAMPUS",High School,-87.65234645,41.74593435
609835,CAMERON,POINT (-87.71787155016516 41.903793146287065),2610,1234 N MONTICELLO AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.71787155,41.90379315
610018,CANTER,POINT (-87.59048583795119 41.80430730757049),4260,4959 S BLACKSTONE AVE,MS,"7, 8",Elementary School,-87.59048584,41.80430731
609836,CANTY,POINT (-87.82924058890192 41.94800825285976),2620,3740 N PANAMA AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.82924059,41.94800825
610024,CARDENAS,POINT (-87.71607244733615 41.84848699068199),4320,2345 S MILLARD AVE,ES,"PK, K, 1, 2, 3",Elementary School,-87.71607245,41.84848699
609837,CARNEGIE,POINT (-87.59079541444126 41.783327158412064),2630,1414 E 61ST PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.59079541,41.78332716
609838,CARPENTER,POINT (-87.65940348909308 41.893506487148194),2640,1250 W ERIE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65940349,41.89350649
609839,CARROLL,POINT (-87.6960131817384 41.74255777760367),2650,2929 W 83RD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69601318,41.74255778
609842,CARSON,POINT (-87.68774454963068 41.793272978685714),2660,5516 S MAPLEWOOD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68774455,41.79327298
609844,CARTER,POINT (-87.62239775316515 41.789828641834255),2670,5740 S MICHIGAN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62239775,41.78982864
609760,CARVER MILITARY HS,POINT (-87.59056550750438 41.65629086182245),1850,13100 S DOTY AVE W,HS,"9, 10, 11, 12",High School,-87.59056551,41.65629086
609845,CARVER PRIMARY,POINT (-87.59951803949703 41.65374323744341),2690,901 E 133RD PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.59951804,41.65374324
610021,CASALS,POINT (-87.71423450731962 41.9045439237193),4290,3501 W POTOMAC AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.71423451,41.90454392
609849,CASSELL,POINT (-87.70316059363368 41.68734825722181),2720,11314 S SPAULDING AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70316059,41.68734826
609826,CASTELLANOS,POINT (-87.71487197321883 41.845450774260414),2510,2524 S CENTRAL PARK AVE,MS,"4, 5, 6, 7, 8",Elementary School,-87.71487197,41.84545078
610431,CATALYST,POINT (-87.70793388768053 41.85851933598479),4370,1616 S SPAULDING AVE,ES,"3, 4, 5, 6",Charter,-87.70793389,41.85851934
610431,CATALYST ELEMENTARY SCHOOL,POINT (-87.76532107779569 41.88228106536953),4371,5608 W WASHINGTON BLVD,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Contract,-87.76532108,41.88228107
610251,CATHER,POINT (-87.69918625214332 41.88290876862854),6730,2908 W WASHINGTON BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69918625,41.88290877
609851,CHALMERS,POINT (-87.6952600119515 41.866476415043486),2740,2745 W ROOSEVELT RD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69526001,41.86647642
609852,CHAPPELL,POINT (-87.68326476964306 41.975935455109436),2750,2135 W FOSTER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68326477,41.97593546
609853,CHASE,POINT (-87.69459712275234 41.91796078315949),2760,2021 N POINT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69459712,41.91796078
610148,CHAVEZ,POINT (-87.6660919390561 41.807142082341045),5640,4747 S MARSHFIELD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.66609194,41.80714208
610248,CHICAGO ACADEMY ES,POINT (-87.77641317626781 41.942138147103705),6670,3400 N AUSTIN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.77641318,41.94213815
610340,CHICAGO ACADEMY HS,POINT (-87.77641317626781 41.942138147103705),7770,3400 N AUSTIN AVE,HS,"9, 10, 11, 12",High School,-87.77641318,41.94213815
609753,CHICAGO AGRICULTURAL HS,POINT (-87.71777107741765 41.6912618899848),1790,3857 W 111TH ST,HS,"9, 10, 11, 12",High School,-87.71777108,41.69126189
610236,CHICAGO CHILDRENS CHOIR CHARTER,POINT (-87.63270195209944 41.828146021786885),6530,3630 S WELLS ST,ES,"3, 4, 5, 6, 7, 8",Charter,-87.63270195,41.82814602
610309,CHICAGO DISCOVERY HS,POINT (-87.55775893207843 41.733692372759215),7360,2710 E 89TH ST,HS,"9, 10, 11, 12",High School,-87.55775893,41.73369237
400035,CHICAGO MATH & SCIENCE CHARTER,POINT (-87.67263284526359 42.008967323435144),7940,1709 W LUNT AVE,MS,"6, 7, 8, 9, 10, 11",Charter,-87.67263285,42.00896732
609754,CHICAGO MILITARY HS,POINT (-87.61927279619361 41.830636084332276),1800,3519 S GILES AVE,HS,"9, 10, 11, 12",High School,-87.6192728,41.83063609
400036,CHICAGO VIRTUAL CHARTER,POINT (-87.64971742490337 41.88055124713114),7700,38 S PEORIA ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.64971742,41.88055125
609675,CHICAGO VOCATIONAL AA,POINT (-87.57326644065988 41.73713277816288),7670,2100 E 87TH ST,HS,"9, 10",High School,-87.57326644,41.73713278
609674,CHICAGO VOCATIONAL HS,POINT (-87.57326644065988 41.73713277816288),1010,2100 E 87TH ST,HS,"9, 10, 11, 12",High School,-87.57326644,41.73713278
609854,CHOPIN,POINT (-87.68893604584001 41.89667153233888),2770,2450 W RICE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68893605,41.89667153
609855,CHRISTOPHER,POINT (-87.68555200118956 41.80165944847576),2780,5042 S ARTESIAN AVE,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.685552,41.80165945
610080,CICS - AVALON SOUTH SHORE,POINT (-87.58792842178234 41.743220574014146),6580,1501 E 83RD PL,ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.58792842,41.74322058
610080,CICS - BASIL,POINT (-87.6702420276346 41.79400170125498),7130,1816 W GARFIELD BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.67024203,41.7940017
610080,CICS - BUCKTOWN,POINT (-87.68141306102014 41.92241355092583),4910,2235 N HAMILTON AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.68141306,41.92241355
400032,CICS - ELLISON,POINT (-87.6623020359969 41.72117915946775),4911,1547 W 95TH ST,HS,"9, 10",Charter,-87.66230204,41.72117916
,CICS - FRIESSE CAMPUS,POINT (-87.65530228635485 41.72025152874485),12,9535 S. THROOP ST,ES,"K, 1, 2, 3",Charter,-87.65530229,41.72025153
610080,CICS - IRVING PARK,POINT (-87.71043729704515 41.95089215231087),4913,3820 N SPAULDING AVE,ES,"K, 1, 2, 3, 4",Charter,-87.7104373,41.95089215
400033,CICS - LONGWOOD,POINT (-87.65576906217012 41.72126258978898),2420,1309 W 95TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.65576906,41.72126259
400034,CICS - NORTHTOWN,POINT (-87.72650336030274 41.990203857185975),7740,3900 W PETERSON AVE,HS,"9, 10, 11, 12",Charter,-87.72650336,41.99020386
610080,CICS - PRAIRIE,POINT (-87.61683346936022 41.68443332855581),4220,11530 S PRAIRIE AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.61683347,41.68443333
610080,CICS - WASHINGTON PARK,POINT (-87.62212343682552 41.78361609120996),2290,6105 S MICHIGAN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.62212344,41.78361609
610080,CICS - WEST BELDEN,POINT (-87.77680364083827 41.92168639408016),7120,2245 N MCVICKER AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.77680364,41.92168639
610080,CICS - WRIGHTWOOD,POINT (-87.6925594428935 41.74536625448344),3180,8130 S CALIFORNIA AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.69255944,41.74536626
610347,CLAREMONT,POINT (-87.68105999090736 41.77746935319134),7830,2300 W 64TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68105999,41.77746935
609795,CLARK ES,POINT (-87.77047257626255 41.8678113607573),2230,1045 S MONITOR AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.77047258,41.86781136
610244,CLARK HS,POINT (-87.7533259158633 41.87292616406265),6620,5101 W HARRISON ST,HS,"6, 7, 8, 9, 10, 11, 12",High School,-87.75332592,41.87292616
609856,CLAY,POINT (-87.54466848190968 41.65455820087311),2790,13231 S BURLEY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.54466848,41.6545582
610401,CLEMENTE AA,POINT (-87.6869612332826 41.9026250689864),7980,1147 N WESTERN AVE,HS,"9, 10",High School,-87.68696123,41.90262507
609759,CLEMENTE HS,POINT (-87.6869612332826 41.9026250689864),1840,1147 N WESTERN AVE,HS,"9, 10, 11, 12",High School,-87.68696123,41.90262507
609857,CLEVELAND,POINT (-87.70644264676915 41.95208328370822),2800,3121 W BYRON ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70644265,41.95208328
609859,CLINTON,POINT (-87.69830479172033 41.99254234632997),2810,6110 N FAIRFIELD AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69830479,41.99254235
609861,CLISSOLD,POINT (-87.68089553939605 41.69298484892952),2820,2350 W 110TH PL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68089554,41.69298485
610199,COLEMAN JOHNNIE,POINT (-87.65811194233143 41.67754659902735),6170,1441 W 119TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65811194,41.6775466
609862,COLES,POINT (-87.56602472360174 41.741412386491014),2830,8441 S YATES BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.56602472,41.74141239
610499,COLLINS ACADEMY HIGH SCHOOL (AUSL),POINT (-87.70209561603804 41.864140639200215),1045,1313 S SACRAMENTO DR,HS,9,High School,-87.70209562,41.86414064
609763,COLLINS HS,POINT (-87.70209561603804 41.864140639200215),1880,1313 S SACRAMENTO DR,HS,"11, 12",High School,-87.70209562,41.86414064
610170,COLUMBIA EXPLORERS,POINT (-87.70414359403824 41.811069865624674),5860,4520 S KEDZIE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70414359,41.81106987
609863,COLUMBUS,POINT (-87.68199313286031 41.89956506271966),2850,1003 N LEAVITT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68199313,41.89956506
609864,COOK,POINT (-87.6597196350367 41.745237805795846),2860,8150 S BISHOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65971964,41.74523781
609866,COONLEY,POINT (-87.68371016579329 41.95555410808984),2880,4046 N LEAVITT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68371017,41.95555411
609867,COOPER,POINT (-87.66722616870928 41.85599003817851),2890,1624 W 19TH ST,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.66722617,41.85599004
609869,COPERNICUS,POINT (-87.6571142162458 41.784681592997664),2900,6010 S THROOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65711422,41.78468159
609870,CORKERY,POINT (-87.73113782701195 41.845603341158885),2910,2510 S KILDARE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.73113783,41.84560334
