the_geom,Short_Name,School_ID,Network,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
POINT (-87.76333693234645 41.87276042775959),PLATO,400068,Contract,5545 W HARRISON ST,60644,Contract,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.87276043,-87.76333693,1(773)413-3090 x111,3,AUSTIN,29,Chris Taliaferro
POINT (-87.70779647483542 41.89255017313203),POLARIS,400069,Charter,620 N SAWYER AVE,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.89255017,-87.70779647,1(773)534-0820,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
POINT (-87.66399582959697 41.775367366876885),PROVIDENCE ENGLEWOOD,400071,Charter,6515 S ASHLAND AVE,60636,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.77536737,-87.66399583,1(773)434-0202,11,WEST ENGLEWOOD,16,JoAnn Thompson
POINT (-87.60025455321865 41.752458488347806),SHABAZZ - SHABAZZ,400072,Charter,7823 S ELLIS AVE,60619,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.75245849,-87.60025455,1(773)651-1221,12,GREATER GRAND CROSSING,8,Michelle A. Harris
POINT (-87.6085007807937 41.82772608093774),U OF C - DONOGHUE,400075,Charter,707 E 37TH ST,60653,Charter,ES,"K, 1, 2, 3, 4, 5",41.82772608,-87.60850078,1(773)285-5301,9,OAKLAND,4,"William ""Will"" D. Burns"
POINT (-87.59878626839304 41.81118286651697),U OF C - NKO,400076,Charter,1119 E 46TH ST,60653,Charter,ES,"K, 1, 2, 3, 4, 5",41.81118287,-87.59878627,1(773)536-2399,9,KENWOOD,4,"William ""Will"" D. Burns"
POINT (-87.59811391931001 41.77812969760118),U OF C - WOODLAWN HS,400077,Charter,6420 S UNIVERSITY AVE,60637,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7781297,-87.59811392,1(773)752-8101,9,WOODLAWN,20,Willie B. Cochran
POINT (-87.60842562240991 41.813547304108404),U OF C - WOODSON,400078,Charter,4444 S EVANS AVE,60653,Charter,ES,"6, 7, 8",41.8135473,-87.60842562,1(773)624-0700,9,GRAND BOULEVARD,3,Patricia R. Dowell
POINT (-87.73049511744672 41.81013478652209),UNO - ZIZUMBO,400079,Charter,4248 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.81013479,-87.73049512,1(773)579-3470 x222,8,ARCHER HEIGHTS,14,Edward M. Burke
POINT (-87.73045044341933 41.80819980605674),UNO - TORRES,400080,Charter,4248 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80819981,-87.73045044,1(773)579-3475,8,ARCHER HEIGHTS,14,Edward M. Burke
POINT (-87.66794916955581 41.859504007501364),UNO - DE LAS CASAS,400081,Charter,1641 W 16TH ST,60608,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.85950401,-87.66794917,1(312)432-3224,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.69959365144675 41.937475775108396),UNO - FUENTES,400082,Charter,2845 W BARRY AVE,60618,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.93747578,-87.69959365,1(773)279-9826,4,AVONDALE,33,Deborah Mell
POINT (-87.69255089867096 41.85003541229726),UNO - PAZ,400083,Charter,2651 W 23RD ST,60608,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.85003541,-87.6925509,1(773)890-1054,7,SOUTH LAWNDALE,24,Michael D. Chandler
POINT (-87.69386163539056 41.799930185927614),UNO - TAMAYO,400084,Charter,5135 S CALIFORNIA AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.79993019,-87.69386164,1(773)434-6355,8,GAGE PARK,14,Edward M. Burke
POINT (-87.73046684945614 41.809170789228574),UNO - GARCIA HS,400085,Charter,4248 W 47TH ST,60632,Charter,HS,"9, 10, 11, 12",41.80917079,-87.73046685,1(773)579-3480 x225,8,ARCHER HEIGHTS,14,Edward M. Burke
POINT (-87.63435669192559 41.781497815831855),URBAN PREP - ENGLEWOOD HS,400086,Charter,6201 S STEWART AVE,60621,Charter,HS,"9, 10, 11, 12",41.78149782,-87.63435669,1(773)535-9724,11,ENGLEWOOD,20,Willie B. Cochran
POINT (-87.61872379631045 41.84454380554294),YOUNG WOMENS HS,400087,Charter,2641 S CALUMET AVE,60616,Charter,HS,"8, 9, 10, 11, 12",41.84454381,-87.6187238,1(312)949-9400,9,DOUGLAS,4,"William ""Will"" D. Burns"
POINT (-87.69739409699946 41.80830882382766),UNO - MARQUEZ,400089,Charter,2916 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80830882,-87.6973941,1(773)321-2200,8,BRIGHTON PARK,15,Toni L. Foulkes
POINT (-87.65909480292642 41.86330140822328),CHICAGO TECH HS,400091,Contract,1301 W 14TH ST,60608,Contract,HS,"9, 10, 11, 12",41.86330141,-87.6590948,1(773)534-7755,6,NEAR WEST SIDE,25,Daniel S. Solis
POINT (-87.60503910190955 41.653663449416015),CICS - BOND,400092,Charter,13300 S LANGLEY AVE,60827,Charter,ES,"K, 1, 2, 3, 4, 5, 6",41.65366345,-87.6050391,1(773)468-1300,13,RIVERDALE,9,Anthony A. Beale
POINT (-87.55022236950532 41.744849105595485),EPIC HS,400094,Charter,8255 S HOUSTON AVE,60617,Charter,HS,"9, 10, 11, 12",41.74484911,-87.55022237,1(773)535-7930,12,SOUTH CHICAGO,7,Gregory Mitchell
POINT (-87.66407246853345 41.90779717825756),ROWE,400096,Charter,1424 N CLEAVER ST,60642,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.90779718,-87.66407247,1(312)445-5870,6,WEST TOWN,2,Bob Fioretti
POINT (-87.67819525963878 41.87880880794607),NOBLE - BULLS HS,400097,Charter,2040 W ADAMS ST,60612,Charter,HS,"9, 10, 11, 12",41.87880881,-87.67819526,1(773)534-7599,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
POINT (-87.62633828219971 41.88274025710012),NOBLE - MUCHIN HS,400098,Charter,1 N STATE ST,60602,Charter,HS,"9, 10, 11, 12",41.88274026,-87.62633828,1(312)445-4680,6,LOOP,42,Brendan M. Reilly
POINT (-87.69399616198365 41.8228837404716),UNO - CISNEROS,400101,Charter,2744 W PERSHING RD,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.82288374,-87.69399616,1(312)376-8830,8,BRIGHTON PARK,12,George A. Cardenas
POINT (-87.66010654063662 41.86254001922581),URBAN PREP - WEST HS,400102,Charter,1326 W 14TH PL,60608,Charter,HS,"9, 10, 11, 12",41.86254002,-87.66010654,1(773)534-8860,6,NEAR WEST SIDE,25,Daniel S. Solis
POINT (-87.6872401588268 41.84596658769947),INSTITUTO - HEALTH,400104,Charter,2520 S WESTERN AVE,60608,Charter,HS,"9, 10, 11, 12",41.84596659,-87.68724016,1(773)890-8020,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.61362864698684 41.83111753084326),URBAN PREP - BRONZEVILLE HS,400105,Charter,521 E 35TH ST,60616,Charter,HS,"9, 10, 11, 12",41.83111753,-87.61362865,1(773)495-0870,9,DOUGLAS,4,"William ""Will"" D. Burns"
POINT (-87.63511669835238 41.77836949834166),NOBLE - JOHNSON HS,400106,Charter,6350 S STEWART AVE,60621,Charter,HS,"9, 10, 11, 12",41.7783695,-87.6351167,1(312)348-1888,11,ENGLEWOOD,20,Willie B. Cochran
POINT (-87.54557989281986 41.73333313284307),LEARN - SOUTH CHICAGO,400107,Charter,8914 S BUFFALO AVE,60617,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.73333313,-87.54557989,1(773)722-8577,12,SOUTH CHICAGO,10,Susie Sadlowski Garza
POINT (-87.66233582271114 41.720863224854135),PROLOGUE - JOHNSTON HS,400109,Options,1551 W 95TH ST,60643,Charter,HS,"9, 10, 11, 12",41.72086323,-87.66233582,1(773)341-2260,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
POINT (-87.66572105552245 41.74312176998597),LEARN - PERKINS,400111,Charter,1700 W 83RD ST,60620,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7",41.74312177,-87.66572106,1(773)722-0200,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
POINT (-87.70879678421302 41.80104241336387),UNO - SOCCER ELEM,400112,Charter,5050 S HOMAN AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80104241,-87.70879678,1(312)455-5450,8,GAGE PARK,14,Edward M. Burke
POINT (-87.6455614997251 41.90779679504793),CICS - CHICAGOQUEST HS,400113,Charter,1443 N OGDEN AVE,60610,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.9077968,-87.6455615,1(773)565-2100,4,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
POINT (-87.68989562476189 41.90034363442005),UNO - SANTIAGO,400114,Charter,2510 W CORTEZ ST,60622,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.90034364,-87.68989562,1(312)455-5410,5,WEST TOWN,1,Proco (Joe) Moreno III
POINT (-87.6930753226288 41.770991718211576),CATALYST - MARIA,400115,Charter,6727 S CALIFORNIA AVE,60629,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.77099172,-87.69307532,1(773)993-1770,10,CHICAGO LAWN,17,Latasha R. Thomas
POINT (-87.6676390084211 41.7673901123986),MONTESSORI ENGLEWOOD,400116,Charter,6936 S HERMITAGE AVE,60636,Charter,ES,"K, 1, 2, 3, 4, 5",41.76739011,-87.66763901,1(773)306-1759,11,WEST ENGLEWOOD,17,Latasha R. Thomas
POINT (-87.65098672782085 41.734441622545084),NOBLE - HANSBERRY HS,400117,Charter,8748 S ABERDEEN ST,60620,Charter,HS,"9, 10, 11, 12",41.73444162,-87.65098673,1(773)729-3400,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
POINT (-87.71165422586564 41.86932807646286),NOBLE - DRW HS,400118,Charter,931 S HOMAN AVE,60624,Charter,HS,"9, 10, 11, 12",41.86932808,-87.71165423,1(773)893-4500,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.73377838310492 41.88173275840047),LEGAL PREP HS,400119,Charter,4319 W WASHINGTON BLVD,60612,Charter,HS,"9, 10, 11, 12",41.88173276,-87.73377838,1(773)922-7800,5,WEST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.78783043795977 41.917951679001526),UNO - CLEMENTE,400120,Charter,2050 N NATCHEZ AVE,60707,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.91795168,-87.78783044,1(312)455-5425,3,BELMONT CRAGIN,29,Chris Taliaferro
POINT (-87.68440568153892 42.01647588165271),UNO - ROGERS PARK,400121,Charter,7416 N RIDGE BLVD,60645,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",42.01647588,-87.68440568,1(312)455-5440,2,WEST RIDGE,49,Joe A. Moore
POINT (-87.74253889944762 41.880447187300774),YCCS - SCHOLASTIC ACHIEVEMENT,400123,Options,4651 W MADISON ST,60644,Charter,HS,"10, 11, 12",41.88044719,-87.7425389,1(773)921-1315,3,AUSTIN,28,Jason C. Ervin
POINT (-87.62533077011555 41.84133116704404),YCCS - MCKINLEY,400124,Options,2920 S WABASH AVE,60616,Charter,HS,"10, 11, 12",41.84133117,-87.62533077,1(312)949-5010,9,DOUGLAS,3,Patricia R. Dowell
POINT (-87.72713735989637 41.93818660243103),YCCS - ASPIRA PANTOJA,400125,Options,3121 N PULASKI RD,60641,Charter,HS,"10, 11, 12",41.9381866,-87.72713736,1(773)252-0970,4,AVONDALE,30,Ariel E. Reboyras
POINT (-87.70685988382161 41.9015724066718),YCCS - ASSOCIATION HOUSE,400126,Options,1116 N KEDZIE AVE,60651,Charter,HS,"10, 11",41.90157241,-87.70685988,1(773)772-7170,5,HUMBOLDT PARK,26,Roberto Maldonado
POINT (-87.76022117562405 41.89497639068477),YCCS - AUSTIN CAREER,400127,Options,5352 W CHICAGO AVE,60651,Charter,HS,"10, 11, 12",41.89497639,-87.76022118,1(773)626-6988,3,AUSTIN,37,Emma M. Mitts
POINT (-87.72366217143608 41.86494335189345),YCCS - CCA ACADEMY,400128,Options,1231 S PULASKI RD,60623,Charter,HS,"10, 11, 12",41.86494335,-87.72366217,1(773)762-2272,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.61584209881255 41.77416954786256),YCCS - HOUSTON,400129,Options,6620 S DR MARTIN LUTHER KING JR DR,60637,Charter,HS,"10, 11, 12",41.77416955,-87.6158421,1(773)723-9631,9,GREATER GRAND CROSSING,20,Willie B. Cochran
POINT (-87.64173118629225 41.751377111833904),YCCS - YOUTH DEVELOPMENT,400130,Options,7836 S UNION AVE,60620,Charter,HS,"10, 11, 12",41.75137711,-87.64173119,1(773)224-2273,11,AUBURN GRESHAM,6,Roderick T. Sawyer
POINT (-87.69600602220713 41.90284969724916),YCCS - CAMPOS,400131,Options,2739 W DIVISION ST,60622,Charter,HS,"10, 11, 12",41.9028497,-87.69600602,1(773)342-8022,5,WEST TOWN,26,Roberto Maldonado
POINT (-87.62773414585837 41.88304717157979),YCCS - INNOVATIONS,400133,Options,17 N. STATE ST.,60602,Charter,HS,"10, 11, 12",41.88304717,-87.62773415,1(312)999-9360,6,LOOP,42,Brendan M. Reilly
POINT (-87.6448879754817 41.85720785596084),YCCS - ADDAMS,400134,Options,1814 S UNION AVE,60616,Charter,HS,"10, 11, 12",41.85720786,-87.64488798,1(312)563-1748,7,LOWER WEST SIDE,11,James A. Balcer
POINT (-87.69543001380885 41.85466465548888),YCCS - LATINO YOUTH,400135,Options,2001 S CALIFORNIA AVE,60608,Charter,HS,"10, 11, 12",41.85466466,-87.69543001,1(773)648-2130,7,SOUTH LAWNDALE,12,George A. Cardenas
POINT (-87.592333202492 41.71292209989564),YCCS - OLIVE HARVEY,400136,Options,10001 S WOODLAWN AVE,60628,Charter,HS,"10, 11",41.7129221,-87.5923332,1(773)291-6517,12,PULLMAN,8,Michelle A. Harris
POINT (-87.59933993996285 41.809695495557065),LITTLE BLACK PEARL HS,400137,Options,1060 E 47TH ST,60653,Contract,HS,"9, 10, 11, 12",41.8096955,-87.59933994,1(773)690-5500,9,KENWOOD,4,"William ""Will"" D. Burns"
POINT (-87.57849166954297 41.746286569880006),YCCS - SULLIVAN,400139,Options,8164 S SOUTH CHICAGO AVE,60617,Charter,HS,"10, 11",41.74628657,-87.57849167,1(773)978-8680,12,AVALON PARK,8,Michelle A. Harris
POINT (-87.65923928943083 41.965294816271395),YCCS - TRUMAN,400141,Options,1145 W WILSON AVE,60640,Charter,HS,"10, 11, 12",41.96529482,-87.65923929,1(773)907-4840,2,UPTOWN,46,James Cappleman
POINT (-87.70205280026559 41.89080312095962),YCCS - WEST TOWN,400143,Options,500 N SACRAMENTO BLVD,60612,Charter,HS,"10, 11",41.89080312,-87.7020528,1(312)563-9044,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
POINT (-87.74881028902938 41.90224003146582),YCCS - WESTSIDE HOLISTIC,400144,Options,4909 W DIVISION ST,60651,Charter,HS,"10, 11, 12",41.90224003,-87.74881029,1(773)261-0994,3,AUSTIN,37,Emma M. Mitts
POINT (-87.62678146982476 41.83207205772944),YCCS - YOUTH CONNECTION,400145,Options,3424 S STATE ST,60616,Charter,HS,"10, 11, 12",41.83207206,-87.62678147,1(312)225-4668,9,DOUGLAS,3,Patricia R. Dowell
